Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	Attributes (Reference only, do not change these values)
Lancier	Lanciers	0	0	0	0	0	0	60	100	80	14	0	10	4	4	5	1	3	0	0	20	50	Invulnérable au Bonus de charge.	0
Hallebardier	Hallebardiers	0	0	0	0	0	0	75	115	115	14	0	10	5	6	5	2	3	0	0	20	30	Invulnérable au Bonus de charge.	0
Arbalétrier	Arbalétriers	0	0	0	0	0	0	100	115	126	9	0	10	4	6	3	2	3	12	0	16	30	Tirs.	SHOOTING_ARMY
Grand Arbalétrier	Grands Arbalétriers	0	0	0	0	0	0	150	115	184	9	0	10	6	6	3	2	3	24	0	16	25	Deux Tirs par action.	const_two_attacks | SHOOTING_ARMY
Griffon	Griffons	0	0	0	0	0	0	200	324	351	7	3	25	6	8	8	3	6	0	0	12	25	Vol. Double riposte.	DOUBLE_WIDE | FLYING_ARMY
Griffon Royal	Griffons Royaux	0	0	0	0	0	0	240	364	448	7	3	25	9	9	9	3	6	0	0	12	20	Vol. Ripostes illimitées.	DOUBLE_WIDE|FLYING_ARMY
Spadassin	Spadassins	0	0	0	0	0	0	300	445	445	4	0	35	5	10	12	6	9	0	0	10	20		0
Paladin	Paladins	0	0	0	0	0	0	400	588	588	4	0	35	6	12	12	7	10	0	0	10	16	Double Frappe.	const_two_attacks
Moine	Moines	0	0	0	0	0	0	400	485	582	3	0	30	5	12	7	10	12	12	0	8	16	Attaque à distance.	SHOOTING_ARMY
Zélote	Zélotes	0	0	0	0	0	0	450	500	750	3	0	30	7	12	10	10	12	24	0	8	12	Attaque à distance. Pas de pénalités de mêlée.	SHOOTING_ARMY | const_no_melee_penalty
Cavalier	Cavaliers	0	0	0	0	0	0	1000	1668	1946	2	0	100	7	15	15	15	25	0	0	5	12	Bonus de charge.	DOUBLE_WIDE | const_jousting
Champion	Champions	0	0	0	0	0	0	1200	1800	2100	2	0	100	9	16	16	20	25	0	0	5	10	Bonus de charge.	DOUBLE_WIDE | const_jousting
Ange	Anges	0	0	0	0	0	1	3000	3585	5019	1	0	200	12	20	20	50	50	0	0	4	10	Vol. Haine des Diables. +1 de Moral.	FLYING_ARMY | const_raises_morale | KING_2
Archange	Archanges	0	0	0	0	0	3	5000	6033	8776	1	0	250	18	30	30	50	50	0	1	3	8	Vol. Haine des Diables. +1 de Moral. Résurrection d'alliés (100 points de vie par Archange).	DOUBLE_WIDE | FLYING_ARMY | const_raises_morale | KING_2
																								
																								
																								
